stop_id,stop_name,stop_lat,stop_lon,location_type
800,İLK DURAK,41.2915,36.3374,0
6161,50122 - SOĞUK SU PLANTONLUĞU,41.2662808682565,36.3495247876042,0
801,SON DURAK,41.2915,36.3374,0
894,Yurtlar,41.3712159387924,36.19576094922462,0
941,Üniversite Gidiş,41.37154320140523,36.22511029243469,0
4009,60372 - 19 MAYIS SANAYİ AKTARMA ,41.2336,36.4199,0
4742,10411 - BARUTHANE TRAMVAY DURAĞI,41.320912,36.32066,0
4745,12141 - IŞINSU PARKI,41.2892,36.3089,0
4874,13491 - OTOGAR,41.2876723173923,36.2885320151155,0
4914,50861 - SAMSUN ÜNİVERSİTESİ,41.2292,36.3689,0
4936,11702 - EĞİTİM ARAŞTIRMA HASTANESİ,41.2723394281525,36.2961812194967,0
5097,10051 - BÜYÜK CAMİ,41.294952,36.333335,0
5102,11872 - YENİ CEZAEVİ,41.259421,36.234579,0
5105,31961 - TÜRKİŞ AKTARMA DURAĞI,41.330588,36.270902,0
5306,31782 - EĞİTİM FAKÜLTESİ,41.369168,36.189486,0
5337,10001 - KILIÇDEDE,41.28,36.3494,0
5392,32561 - ŞEHİT YÜZBAŞI TUNÇ FİDANERİ İÖO,41.326801248568,36.2363679545895,0
5393,33301 - ATAKENT TRAMVAY İSTASYONU,41.34331,36.244461,0
5433,30891 - KARAYOLLARI HALI SAHA,41.323,36.3072,0
5471,13481 - OTOGAR ÇIKIŞ,41.2873,36.2878,0
5564,31631 - ÜNİVERSİTE BATI GARAJI,41.371911,36.225339,0
5638,10052 - BÜYÜK CAMİ,41.294762,36.333906,0
5790,32722 - YENİ MAHALLE TRAMVAY,41.3511097730939,36.2373908895672,0
5799,33291 - ATLI SPOR TESİSLERİ,41.3531,36.1853,0
6119,50111 - SOĞUKSU,41.2661999574797,36.3503994890515,0
6184,70001 - BALLICA HAVACILIK OKULU,41.51007,36.117007,0
6190,13231 - DERECİK MEZARLIĞI,41.29878,36.273676,0
6202,50892 - HACI İSMAİL SON DURAK,41.251512,36.343889,0
6207,50902 - ATATÜRK MAHALLESİ CAMİİ,41.24828016935031,36.31955613479614,0
6296,60982 - TEKKEKÖY TREN İSTASYONU,41.214406,36.459369,0
6306,50932 - ERDOĞAN DÜNDAR,41.268516,36.371304,0
6412,13831 - TOPLU TAŞIMA TRANSFER MERKEZİ,41.295224,36.334948,0
6415,31962 - TÜRKİŞ AKTARMA DURAĞI,41.330972,36.270888,0
6422,72032 - HAVZA OTOGAR,40.961338,35.666979,0
6424,65312 - ÇARŞAMBA HAVALİMANI,41.257171,36.554943,0
6426,60991 - TEKKEKÖY AKTARMA,41.22524,36.453402,0
6436,74022 - ŞAHİNKAYA KANYONU,41.278022,35.432297,0
6438,70132 - KIZILIRMAK DELTASI,41.594126,36.113411,0
6440,75012 - AYVACIK MERKEZ,40.98955,36.633053,0
6450,77022 - YAKAKENT MERKEZ,41.631045,35.531153,0
6456,78032 - TERME MERKEZ,41.212502,36.971648,0
8029,35051 - 1246.CADDE,41.309527,36.278555,0
9019,SAMSUNUM-1 GEZİNTİ GEMİSİ MERKEZ ( LİMAN İÇİ ) DURAĞI,41.294697,36.337546,0
9020,SAMSUNUM-2 GEZİNTİ GEMİSİ AYVACIK DURAĞI,40.990883,36.632493,0
9021,SAMSUNUM-3 GEZİNTİ GEMİSİ VEZİRKÖPRÜ KANYONU DURAĞI,41.279939,35.431189,0
9022,ALTINKAYA 55 FERİBOTU VEZİRKÖPRÜ KANYON DURAĞI,41.279511,35.428051,0
10007,50100 - ŞEHİR HASTANESİ ACİL,41.242071,36.321133,0
10009,Balonya Otoparkı,41.2843957913377,36.3468298971971,0
10010,Saathane Otoparkı,41.294991,36.331027,0
10081,65752 - Hat Başlangıç Durak ,41.210506,36.754654,0
10082,73031 - Eczacılık Fakültesi,41.565944,35.875865,0
10113,78252 - Terme Belediyesi,41.208149,36.970941,0
10122,79052 - Ladik Akdağ Kayak Merkezi,40.876585,35.905629,0
895,Eğitim Fakültesi,41.36872028235033,36.18967555519669,0
4725,50132 - KUZEY YILDIZI TOKİ 2,41.265465,36.347746,0
4791,13461 - VATAN CADDESİ,41.2838,36.2885,0
