WKT,ad,açıklama
"POINT (36.3647931 41.2733097)",Belediyeevleri İstasyonu,
"POINT (36.373208 41.270483)",Mavi Işıklar İstasyonu,
"POINT (36.379675 41.266575)",Balıkçı Barınağı ,
"POINT (36.397356 41.248158)",Asarağaç İstasyonu,
"POINT (36.401884 41.24538)",Kirazlık İstasyonu,
"POINT (36.407934 41.241601)",Örnek Sanayi İstasyonu,
"POINT (36.413674 41.237859)",İlkadım Sanayi İstasyonu,
"POINT (36.420185 41.233584)",19 Mayıs Sanayi,
"POINT (36.425372 41.230196)",Organize Sanayi İstasyonu,
"POINT (36.430533 41.229221)",Kerimbey İstasyonu,
"POINT (36.440954 41.228303)",Cumhuriyet İstasyonu,
"POINT (36.453291 41.225090)",Tekkeköy İstasyonu,
"POINT (36.455577 41.228857)",Stadyum İstasyonu,
"LINESTRING (36.341789 41.285915, 36.342412 41.285429, 36.342875 41.285075, 36.343561 41.284563, 36.34433 41.284024, 36.345104 41.283492, 36.345866 41.28296, 36.346453 41.282554, 36.346717 41.28238, 36.347496 41.28184, 36.348322 41.281299, 36.348463 41.281214, 36.348711 41.28112, 36.348975 41.28108, 36.349224 41.281087, 36.349509 41.281112, 36.349791 41.281082, 36.350013 41.281011, 36.350245 41.280891, 36.350542 41.280676, 36.350759 41.280465, 36.350923 41.280292, 36.351008 41.280191, 36.351215 41.279966, 36.351401 41.27973, 36.351681 41.2794, 36.352389 41.278756, 36.352817 41.278389, 36.353668 41.277829, 36.354339 41.277409, 36.354755 41.277173, 36.355024 41.277053, 36.355367 41.276917, 36.355844 41.276709, 36.356471 41.276489, 36.356751 41.276375, 36.356953 41.276304, 36.35739 41.276129, 36.358132 41.275837, 36.358506 41.275698, 36.359248 41.275424, 36.360088 41.27509, 36.360878 41.274785, 36.361697 41.274474, 36.362653 41.274099, 36.363476 41.273774, 36.364209 41.273497, 36.365056 41.273179, 36.365775 41.272941, 36.366062 41.272858, 36.366724 41.272662, 36.367485 41.272445, 36.368442 41.272169, 36.369306 41.271893, 36.370048 41.271612, 36.370764 41.271312, 36.371364 41.271043, 36.372186 41.270675, 36.372494 41.270564, 36.372902 41.270503, 36.373441 41.270428, 36.37376 41.270392, 36.374082 41.270295, 36.374363 41.270117, 36.374501 41.269876, 36.374564 41.269698, 36.374766 41.2695, 36.375187 41.269275, 36.375415 41.269153, 36.37608 41.268832, 36.376822 41.268432, 36.377425 41.268066, 36.377962 41.26769, 36.378555 41.267282, 36.378804 41.267085, 36.379456 41.266589, 36.379654 41.266452, 36.380084 41.266149, 36.381058 41.265445, 36.381929 41.264796, 36.382635 41.264224, 36.383244 41.263633, 36.383487 41.26331, 36.383676 41.263028, 36.383978 41.262453, 36.384241 41.261768, 36.384361 41.261171, 36.384396 41.26066, 36.384427 41.260338, 36.384479 41.259417, 36.384523 41.258636, 36.384593 41.257665, 36.384703 41.257062, 36.384898 41.256483, 36.385134 41.255972, 36.385369 41.255724, 36.386211 41.255303, 36.387188 41.254858, 36.388283 41.254328, 36.389237 41.253892, 36.389682 41.25369, 36.39023 41.253446, 36.390738 41.25322, 36.39129 41.25294, 36.391723 41.252697, 36.392297 41.252369, 36.392544 41.252204, 36.392912 41.251933, 36.393481 41.251421, 36.394259 41.250648, 36.395053 41.249846, 36.395512 41.249408, 36.395899 41.249043, 36.397173 41.248224, 36.397902 41.247803, 36.398973 41.247136, 36.400568 41.246169, 36.401169 41.245765, 36.402671 41.244927, 36.404366 41.243867, 36.405831 41.242926, 36.407263 41.241998, 36.408582 41.241134, 36.410378 41.239935, 36.410901 41.239595, 36.411949 41.238874, 36.413061 41.23816, 36.413872 41.237636, 36.415113 41.236844, 36.416166 41.23619, 36.417802 41.235179, 36.41935 41.234146, 36.42006 41.233651, 36.420663 41.233247, 36.421427 41.232771, 36.422248 41.232228, 36.422769 41.231941, 36.423298 41.231584, 36.423928 41.231128, 36.424819 41.230563, 36.425589 41.230065, 36.425787 41.229926, 36.426385 41.229511, 36.427547 41.22872, 36.428018 41.228403, 36.428375 41.228301, 36.428965 41.228311, 36.429348 41.228402, 36.429802 41.228579, 36.430124 41.228779, 36.430453 41.229059, 36.430781 41.229345, 36.430944 41.229477, 36.431229 41.229581, 36.431626 41.229606, 36.432219 41.229534, 36.434434 41.229093, 36.435161 41.228952, 36.435877 41.228804, 36.437494 41.228699, 36.438136 41.228686, 36.438772 41.228627, 36.439469 41.228618, 36.44013 41.22859, 36.440679 41.228548, 36.441297 41.228414, 36.441539 41.228296, 36.442087 41.227926, 36.442786 41.227735, 36.443634 41.227409, 36.443912 41.227217, 36.444279 41.226738, 36.444523 41.226382, 36.444736 41.226224, 36.44522 41.226007, 36.445817 41.225889, 36.44703 41.22569, 36.448926 41.225435, 36.449502 41.225253, 36.449735 41.225069, 36.45004 41.224878, 36.450444 41.224836, 36.451166 41.224905, 36.451451 41.224976, 36.451807 41.22502, 36.452165 41.225077, 36.452789 41.225125, 36.45327 41.225141, 36.453796 41.225151, 36.454274 41.225197, 36.454654 41.225242, 36.455123 41.225311, 36.455364 41.225338, 36.455641 41.225351, 36.455626 41.225918, 36.455699 41.226283, 36.455746 41.226778, 36.455721 41.227327, 36.455608 41.228131)",Samsun Hafif Raylı Sistem Hattı,
"LINESTRING (36.224478 41.372226, 36.2229353 41.3739113, 36.2220946 41.3749038, 36.2212187 41.3760045, 36.220532 41.376713, 36.2197595 41.3770672, 36.2188154 41.3772927, 36.21697 41.3771961, 36.2156397 41.3766486, 36.2147814 41.3760368, 36.2134081 41.374974, 36.2118631 41.3742011, 36.2101465 41.3732672, 36.2094346 41.3727461, 36.2086015 41.3720112, 36.2079149 41.3712705, 36.2074857 41.370723, 36.2072283 41.3702399, 36.2070566 41.3695958, 36.2073141 41.3690805, 36.2075716 41.3685652, 36.2075716 41.3682753, 36.2074428 41.3679533, 36.2069278 41.3675668, 36.2057691 41.3674057, 36.2042671 41.3674057, 36.2034946 41.3674702, 36.2025076 41.3674702, 36.2016922 41.3674057, 36.2006622 41.3675346, 36.1998039 41.3675668, 36.1989885 41.36776, 36.1984306 41.3677922, 36.1974436 41.3678566, 36.1967569 41.3678888, 36.196199 41.3678566, 36.1957699 41.3677278, 36.1952549 41.3675829, 36.1946932 41.3673949, 36.1940747 41.3671964, 36.1930876 41.3667938, 36.19268 41.3666005, 36.1922508 41.3663912, 36.1918002 41.3661979, 36.1912637 41.3659886, 36.1904913 41.3657631, 36.1898261 41.3655377, 36.1893969 41.3654088, 36.1889892 41.3653766, 36.1886674 41.3654411, 36.1882811 41.3656182, 36.1869293 41.3666489, 36.1869937 41.3668421, 36.1872082 41.3671481, 36.1874657 41.367454, 36.1880451 41.3679211, 36.1892896 41.3686779, 36.1902767 41.3693543, 36.1909419 41.369789, 36.19165 41.3701755, 36.1923795 41.3704332, 36.1933881 41.3708679, 36.1938816 41.3710773, 36.1943966 41.37119, 36.1953192 41.3713027, 36.1961346 41.3713832, 36.1965423 41.3714315)",Çizgi 46,
